Tanggal,Rata-rata Harga
2024/03/25,Rp 17.300
2024/03/26,Rp 17.205
2024/03/27,Rp 17.277
2024/03/28,Rp 17.241
2024/03/29,Rp 17.241
2024/03/30,Rp 17.241
2024/03/31,Rp 17.241
2024/04/01,Rp 16.591
2024/04/02,Rp 16.555
2024/04/03,Rp 16.559
2024/04/04,Rp 16.545
2024/04/05,Rp 16.536
2024/04/06,Rp 16.536
2024/04/07,Rp 17.182
2024/04/08,Rp 17.236
2024/04/09,Rp 17.236
2024/04/10,Rp 17.255
2024/04/11,Rp 17.236
2024/04/12,Rp 17.236
2024/04/15,Rp 14.382
2024/04/16,Rp 17.155
2024/04/17,Rp 17.145
2024/04/18,Rp 17.136
2024/04/19,Rp 17.118
2024/04/22,Rp 14.268
2024/04/23,Rp 17.105
2024/04/24,Rp 17.077
2024/04/25,Rp 16.732
2024/04/26,Rp 16.741
2024/04/27,Rp 16.741
2024/04/28,Rp 16.741
2024/04/29,Rp 16.768
2024/04/30,Rp 16.750
2024/05/02,Rp 16.983
2024/05/03,Rp 16.958
2024/05/04,Rp 16.958
2024/05/05,Rp 16.958
2024/05/06,Rp 17.008
2024/05/07,Rp 16.979
2024/05/08,Rp 16.971
2024/05/09,Rp 17.032
2024/05/10,Rp 17.027
2024/05/11,Rp 17.027
2024/05/12,Rp 17.027
2024/05/13,Rp 16.468
2024/05/14,Rp 16.482
2024/05/15,Rp 16.491
2024/05/16,Rp 16.464
2024/05/17,Rp 16.464
2024/05/20,Rp 14.059
2024/05/21,Rp 17.086
2024/05/22,Rp 17.086
2024/05/23,Rp 17.064
2024/05/24,Rp 17.064
2024/05/27,Rp 13.995
2024/05/28,Rp 17.041
2024/05/29,Rp 17.036
2024/05/30,Rp 17.041
2024/05/31,Rp 17.050
2024/06/01,Rp 17.050
2024/06/02,Rp 17.050
2024/06/03,Rp 17.036
2024/06/04,Rp 16.977
2024/06/05,Rp 17.041
2024/06/06,Rp 16.933
2024/06/07,Rp 16.933
2024/06/08,Rp 16.933
2024/06/09,Rp 16.933
2024/06/10,Rp 16.879
2024/06/11,Rp 16.933
2024/06/12,Rp 16.933
2024/06/13,Rp 16.864
2024/06/14,Rp 16.441
2024/06/15,Rp 16.633
2024/06/16,Rp 16.633
2024/06/17,Rp 16.923
2024/06/18,Rp 16.432
2024/06/19,Rp 16.245
2024/06/20,Rp 16.218
2024/06/21,Rp 16.295
2024/06/22,Rp 16.295
2024/06/23,Rp 16.295
2024/06/24,Rp 16.495
2024/06/25,Rp 16.312
2024/06/26,Rp 16.223
2024/06/27,Rp 16.282
2024/06/28,Rp 16.218
2024/06/29,Rp 16.218
2024/06/30,Rp 16.218
2024/07/02,Rp 16.209
2024/07/03,Rp 16.223
2024/07/04,Rp 16.364
2024/07/05,Rp 16.321
2024/07/06,Rp 16.321
